,direction,speed
1229,270.0,1.0
1230,140.0,3.0
1231,70.0,3.0
1232,250.0,3.0
1233,220.0,2.0
1234,90.0,3.0
1235,270.0,1.0
1236,70.0,1.0
1237,250.0,1.0
1238,90.0,2.0
1239,230.0,2.0
1240,250.0,2.0
1241,160.0,4.0
1242,90.0,4.0
1243,220.0,4.0
1244,140.0,4.0
1245,70.0,1.0
1246,50.0,2.0
1247,20.0,6.0
1248,140.0,1.0
1249,20.0,2.0
1250,180.0,1.0
1251,320.0,5.0
1252,270.0,2.0
1253,230.0,8.0
1254,230.0,2.0
1255,20.0,4.0
1256,250.0,7.0
1257,320.0,2.0
1258,250.0,9.0
1259,20.0,2.0
1260,140.0,2.0
1261,250.0,4.0
1262,250.0,4.0
1263,320.0,3.0
1264,180.0,2.0
1265,320.0,2.0
1266,360.0,3.0
1267,250.0,11.0
1268,200.0,8.0
1269,50.0,4.0
1270,250.0,6.0
1271,320.0,3.0
1272,50.0,3.0
1273,320.0,2.0
1274,140.0,2.0
1275,320.0,2.0
1276,320.0,1.0
1277,270.0,1.0
1278,70.0,2.0
1279,50.0,1.0
1280,180.0,3.0
1281,50.0,1.0
1282,200.0,1.0
1283,180.0,2.0
1284,220.0,5.0
1285,50.0,3.0
1286,320.0,1.0
1287,50.0,2.0
1288,90.0,2.0
1289,50.0,4.0
1290,50.0,2.0
1291,140.0,1.0
1292,180.0,1.0
1293,180.0,2.0
1294,250.0,6.0
1295,200.0,4.0
1296,290.0,3.0
1297,250.0,2.0
1298,70.0,5.0
1299,360.0,2.0
1300,250.0,3.0
1301,90.0,3.0
1302,250.0,6.0
1303,250.0,3.0
1304,110.0,3.0
1305,180.0,1.0
1306,180.0,4.0
1307,50.0,3.0
1308,220.0,2.0
1309,140.0,3.0
1310,250.0,3.0
1311,270.0,5.0
1312,230.0,2.0
1313,40.0,1.0
1314,70.0,1.0
1315,20.0,3.0
1316,20.0,2.0
1317,50.0,1.0
1318,110.0,2.0
1319,360.0,2.0
1320,20.0,1.0
1321,180.0,1.0
1322,90.0,3.0
1323,20.0,3.0
1324,320.0,2.0
1325,320.0,2.0
1326,70.0,3.0
1327,250.0,7.0
1328,50.0,3.0
1329,20.0,2.0
1330,90.0,2.0
1331,320.0,1.0
1332,140.0,2.0
1333,220.0,1.0
1334,140.0,2.0
1335,250.0,5.0
1336,180.0,1.0
1337,140.0,3.0
1338,70.0,6.0
1339,270.0,3.0
1340,320.0,3.0
1341,180.0,2.0
1342,50.0,4.0
1343,270.0,3.0
1344,200.0,1.0
1345,50.0,3.0
1346,320.0,2.0
1347,180.0,1.0
1348,180.0,2.0
1349,70.0,1.0
1350,270.0,5.0
1351,70.0,1.0
1352,320.0,2.0
1353,220.0,1.0
1354,360.0,1.0
1355,90.0,3.0
1356,50.0,4.0
1357,320.0,1.0
1358,180.0,2.0
